filename,grid_size,num_nodes,num_processors,optimal_omega,iterations,error,time_elapsed
job_80_p2.5408.out,80,6400,2,1.92444,1548,1.332268e-15,42.992872
job_80_p8.5409.out,80,6400,8,1.92444,1514,1.332268e-15,4.742574
job_80_p16.5410.out,80,6400,16,1.92444,1482,1.332268e-15,1.770459
job_80_p32.5411.out,80,6400,32,1.92444,1192,1.332268e-15,0.836948
job_120_p2.5412.out,120,14400,2,1.94898,1530,1.776357e-15,199.824473
job_120_p8.5413.out,120,14400,8,1.94898,1485,1.776357e-15,17.049932
job_120_p16.5414.out,120,14400,16,1.94898,1448,1.776357e-15,7.080499
job_120_p32.5415.out,120,14400,32,1.94898,1334,1.776357e-15,2.931141
job_200_p2.5416.out,200,40000,2,1.96907,1553,3.552714e-15,1513.108457
job_200_p8.5417.out,200,40000,8,1.96907,1482,3.552714e-15,110.713262
job_200_p16.5418.out,200,40000,16,1.96907,1470,3.552714e-15,37.12747
job_200_p32.5419.out,200,40000,32,1.96907,1425,3.552714e-15,15.383075
